,accX,accY,accZ,gyroX,gyroY,gyroZ
252,0.087341,-0.014282,0.963257,-2.182007,-6.462097,-27.702332
253,0.09137,-0.008606,0.96167,-0.007629,-6.446838,-27.931213
254,0.099792,0.015381,0.960815,3.082275,-5.79071,-28.709412
255,0.104797,0.030823,0.963257,3.669739,-5.172729,-29.121399
256,0.10022,0.050476,0.96991,3.28064,-4.295349,-29.373169
257,0.068054,0.07843,0.995605,2.204895,-3.936768,-28.7323
258,0.055298,0.094482,0.997314,0.320435,-5.607605,-25.32959
259,0.139893,0.074341,0.967529,-5.004883,-5.134583,-23.513794
260,0.12439,0.05304,1.000183,-6.332397,-0.022888,-27.282715
261,0.106628,0.059937,0.936829,-7.476807,3.15094,-28.411865
262,0.114563,0.056702,0.923279,-10.11657,3.593445,-28.640747
263,0.10968,0.052185,0.970337,-12.39776,4.096985,-29.067993
264,0.101318,0.055664,0.981201,-15.31219,6.584167,-27.984619
265,0.096008,0.070007,0.975525,-17.64679,6.744385,-26.679993
266,0.093262,0.077881,0.98291,-20.14923,7.049561,-24.917603
267,0.095459,0.079834,0.984253,-23.01025,7.293701,-23.010254
268,0.096497,0.075317,0.991272,-26.03912,7.102966,-20.881653
269,0.098083,0.071533,0.995728,-28.95355,7.286072,-18.768311
270,0.100525,0.067017,0.990295,-34.10339,8.171082,-15.609741
271,0.109924,0.016907,0.977112,-41.96167,8.285522,-10.742188
272,0.15387,-0.077515,0.942017,-43.01452,10.2005,-11.802673
273,0.093323,-0.111084,0.971191,-40.9317,14.198303,-15.663147
274,0.08667,-0.162476,0.926514,-35.34698,16.136169,-17.730713
275,0.067444,-0.169495,0.932251,-28.27453,16.494751,-19.088745
276,0.064697,-0.164185,0.93927,-19.7525,15.808105,-19.691467
277,0.063293,-0.139038,0.939697,-3.242493,13.748169,-19.706726
278,0.067444,-0.102173,0.968872,2.723694,12.611389,-20.6604
279,0.040955,-0.074097,1.009216,5.592346,12.336731,-23.666382
280,0.049866,-0.054016,0.988586,5.851746,12.611389,-26.725769
281,0.025635,-0.040283,0.962463,5.836487,12.634277,-29.144287
282,0.016663,-0.051208,0.946655,6.889343,7.881165,-32.218933
283,0.001709,-0.042847,0.989197,7.400513,5.065918,-33.241272
284,-0.007263,-0.081421,0.991272,8.178711,1.670837,-34.011841
285,-0.005798,-0.029907,0.980286,9.994507,-1.556396,-34.233093
286,0.024109,0.007996,1.043518,11.543274,-7.041931,-35.27832
287,0.024475,-0.018066,1.05957,10.734558,-9.58252,-36.270142
288,0.016541,-0.018433,0.959229,9.857178,-13.023376,-36.941528
289,0.032532,-0.010742,0.983276,9.742737,-16.891479,-36.529541
290,0.04248,0.010559,0.991272,10.574341,-18.783569,-35.987854
291,0.055847,0.024475,1.002197,10.154724,-20.797729,-35.110474
292,0.075256,0.037476,0.996704,8.964539,-22.026062,-34.057617
293,0.082092,0.037598,0.979248,7.133484,-21.972656,-33.157349
294,0.083557,0.017395,0.960205,3.753662,-21.499634,-31.669617
295,0.107422,0.054871,1.005859,1.747131,-21.331787,-30.838013
296,0.118347,0.065491,1.010193,-3.601074,-18.096924,-28.587341
297,0.131226,0.065491,0.98114,-6.988525,-16.593933,-27.359009
298,0.131592,0.052063,0.966248,-10.26916,-14.312744,-26.100159
299,0.123718,0.030457,0.949951,-12.62664,-11.772156,-24.833679
300,0.116577,0.008972,0.945007,-14.35089,-10.162354,-23.216248
301,0.115112,0.002686,0.966187,-14.73236,-9.338379,-21.408081
302,0.108826,-0.007385,0.992981,-14.22882,-8.964539,-19.523621
303,0.108093,-0.021057,0.992249,-12.72583,-8.758545,-16.845703
304,0.12677,-0.012024,0.954468,-9.681702,-7.30896,-12.443542
305,0.129883,-0.017151,0.961365,-8.834839,-6.530762,-10.742188
306,0.132629,-0.009705,0.967407,-7.720947,-5.393982,-8.68988
307,0.122864,-0.005188,0.969299,-6.889343,-4.074097,-6.385803
308,0.131592,-0.015686,0.954956,-5.119324,-2.502441,-1.930237
309,0.132141,0.003479,0.950562,-5.813599,-1.068115,-0.450134
310,0.112,0.031189,0.985474,-7.461548,0.007629,0.450134
311,0.104431,0.020325,0.993896,-9.918213,0.740051,1.251221
312,0.072998,-0.012939,0.989197,-12.04681,1.075745,1.312256
313,0.062866,-0.014893,0.97467,-13.84735,-2.235413,0.88501
314,0.052185,0.00824,0.993347,-15.419,-5.256653,1.045227
315,0.079529,0.025574,1.027527,-17.99774,-6.668091,0.968933
316,0.091064,0.012756,0.997253,-20.85876,-7.247925,0.602722
317,0.100464,0.001099,0.98761,-23.7503,-8.155823,0.076294
318,0.12085,-0.007996,0.97821,-25.8789,-8.018494,-0.228882
319,0.129028,-0.039978,0.967102,-27.61077,-6.614685,-0.854492
320,0.137817,-0.064514,0.959167,-28.05328,-4.981995,-1.579285
321,0.141235,-0.098328,0.938538,-25.42877,0.099182,-3.616333
322,0.135742,-0.114258,0.95752,-23.22387,2.532959,-4.867554
323,0.130188,-0.129822,0.946716,-19.3634,5.203247,-5.836487
324,0.114929,-0.132446,0.917236,-14.70184,8.041382,-6.912231
325,0.115295,-0.144836,0.894409,-5.607605,11.230469,-10.07843
326,0.108704,-0.131287,0.890869,-1.068115,14.129639,-12.840271
327,0.101379,-0.113892,0.924316,1.907349,16.044617,-15.464783
328,0.098572,-0.092712,0.97406,4.264832,16.708374,-17.379761
329,0.084106,-0.057617,0.99176,7.019043,17.25769,-18.424988
330,0.076721,-0.047668,0.992004,7.453918,15.975952,-18.119812
331,0.071716,-0.041138,0.997192,7.591248,14.518738,-17.677307
332,0.074402,-0.048462,0.990845,8.071899,13.305664,-17.272949
333,0.067627,-0.047058,0.964661,8.010864,12.901306,-17.402649
334,0.069519,-0.042053,0.971313,7.659912,11.741638,-18.081665
335,0.073608,-0.037109,0.989685,6.93512,11.169434,-19.332886
